Lake,WaterbodyID,Region,Longitude,Latitude,Elevation (m ASL),Surface area (ha),MAT,MWMT,MCMT,DD_0,DD5,DD_18,DD18,NFFD,Mean_depth,Max_depth,Volume (km3),TDS (mg_L),MEI (TDS/depth),Road Access,Effort,Effort.ha,CaughtFish,Caught.ha,CPUE,Other_Info,Classification,Fetch..m.,Minimum Travel Time,Guiding,Provincial.Park.Campgrounds.and.Rec.Sites,Private.Lots,Lodges.and.Marinas,Permits.and.Leases.for.Camps.and.Cabins,Indian.Reserves,FN.netting,Comment,Exploitation_Rank,Road.Surface,ROAD_ACCES,Distance.to.Nearest.Road..m.,Time.to.Nearest.Road..minutes.,ROAD_NAM_1,Length.of.Nearest.Road.Segment..m.,ROAD_CLASS
Moose,YT_Moose,Yukon,-134.12198,63.1801,644,1385,-2.9,14.5,-22.8,2699,889,7591,15,122,28.1,46,0.389,84,2.989323843,NR,NA,NA,NA,NA,NA,,General Regulations,12553.18434,NA,Yes,No,No,No,No,No,No,"Medium-size lake, moderate yield, unknown population size, remote likely low pressure",2,NA,NA,NA,NA,NA,NA,NA
Moose Lake,00548UFRA,Omineca,-118.9095792,52.9537678,1032,1378.915523,1.5,13.2,-11.6,1292,931,5997,12,137,52,86.9,0.717036072,99,1.903846154,PR,NA,NA,NA,NA,NA,,,11799.99159,0.45,No,1,3,0,0,0,No,Robson Provincial Park; boat launch day-use off Highway 16,4,rough,Known Road Acess,102.73,1.46,,243.28,unclassified
Moose Lake,00262UKEC,Peace,-127.2504533,59.06276157,936,180.011314,-1.2,12.7,-16.3,1997,778,6970,8,121,16,28.5,0.02880181,658,41.125,NR,NA,NA,NA,NA,NA,,,4254.756686,NA,Yes,0,0,0,1,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Moose Lake West,01121MDEA,Skeena,-129.9082708,58.59806319,1001,131.6016383,-1.3,11.3,-15.5,1859,622,7026,5,114,6.53,NA,0.008593587,70,10.71975498,NR,NA,NA,NA,NA,NA,,,2649.093807,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Moraine,YT_Moraine,Yukon,-136.758742,60.948,909,NA,-1.8,12.4,-14.7,2046,645,7197,6,115,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,6966.990481,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Morfee N Lake,00821PARA,Omineca,-123.0880774,55.35548923,721,280.9494422,2,14.5,-12.3,1298,1092,5814,20,151,13,44.2,0.036523427,129,9.923076923,PR,NA,NA,NA,NA,NA,,,4273.207417,0.09,No,1,0,0,0,0,No,Day-use park for town of Mackenze; boat launch,4,loose,Known Road Acess,125.4,1.56,Morfee Lake Rd,1037.32,local
Morice Lake,01266MORR,Skeena,-127.5320877,54.05235823,763,9707.76239,2.6,13.3,-9.1,1010,955,5614,14,144,100,236.2,9.70776239,24,0.24,FR,NA,NA,NA,NA,NA,,,40827.04572,2.1,Yes,1,0,0,2,0,No,Provincial Park campground,2,loose,Known Road Acess,43.56,0.21,Morice River FSR,137.51,resource
Morley Lake,00001TESR,SkeenaYT,-132.09983,60.00417774,793,1114.742556,-2.4,12.3,-20.1,2329,693,7435,6,112,8.07,27,0.09,60,7.434944238,PR,NA,NA,NA,NA,NA,Depleted population,Conservation Water,9855.119773,0.68,No,1,0,0,1,0,No,"Medium-size lake, moderate yield, very small population size, easy access ",4,loose,Known Road Acess,0.44,0.53,Morley Lake Recsite,353.5,local
Morris,YT_Morris,Yukon,-131.670739,60.4485,990,1770,-3.2,11.7,-21,2503,622,7711,5,103,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,7223.406785,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Morrison Lake,00221BABL,Skeena,-126.3925595,55.26034159,731,1326.519201,2.2,13.5,-10.8,1133,970,5735,14,148,16.8,64,0.222855226,40,2.380952381,FR,NA,NA,NA,NA,NA,,,14881.5681,3.59,Yes,0,0,0,1,0,No,,2,rough,Possible Road Access,472.21,11.82,,1969.79,unclassified
Muncho Lake,01238LIAR,Peace,-125.7833599,58.9881732,825,1505.594434,-0.9,13.5,-16.8,1984,881,6881,12,125,52,109.7,0.782909106,195,3.75,PR,NA,NA,NA,NA,NA,,,12662.65261,2,No,3,7,1,0,0,No,"Provincial Park campground; Northern Rockies Lodge resort, added 2 more 'rec sites' here based on boat launches and campgrounds",3,loose,Known Road Acess,15.63,1,,669.03,unclassified
Murray Lake,00736CHES,Skeena,-125.0393483,53.66215494,770,587.3832071,2.6,14.1,-10.8,1104,1055,5606,18,147,12,25.9,0.070485985,NA,NA,FR,NA,NA,NA,NA,NA,,,8678.023104,1.77,Yes,0,5,0,1,1,No,,2,rough,Known Road Acess,38.77,6.08,,1013.54,unclassified
Mush,YT_Mush,Yukon,-137.459897,60.3032,686,1759,-1.7,12.6,-16.6,2091,712,7161,7,117,27.97,60,0.528,141,5.041115481,NR,NA,NA,NA,NA,NA,National Park,Park Regulations,10206.06125,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Nakinilerak Lake,00756TAKL,Omineca,-126.2840174,55.27829546,875,718.2380658,1.7,12.8,-10.8,1169,859,5915,10,140,11,29,0.079006187,56,5.090909091,FR,NA,NA,NA,NA,NA,,,7336.467769,4.26,Yes,0,0,0,2,0,No,,2,rough,Known Road Acess,53.61,10.72,,1787.28,unclassified
Nares,YT_Nares,Yukon,-134.6447,60.1598,NA,NA,-2.6,11.5,-18.7,2260,593,7480,4,105,NA,NA,NA,NA,NA,PR,NA,NA,NA,NA,NA,CTFN,,5160.474847,0.17,No,Yes,Yes,Yes,Yes,Yes,No,#N/A,5,Unpaved,Known Road Acess,96.46,3.86,None,1931.55,Local / Str*
Narrow Lake,00744WILL,Omineca,-121.9333004,53.55721745,958,351.9665672,2.6,13.6,-9.5,1029,993,5591,15,145,26,59,0.091511307,26,1,FR,NA,NA,NA,NA,NA,,,6859.128221,2.07,No,1,0,0,0,0,No,,3,rough,Known Road Acess,4.7,0.55,,91.3,unclassified
Natowite Lake,00998TAKL,Omineca,-125.9460681,55.07725391,778,1366.059023,2.3,13.6,-10.8,1119,977,5712,14,148,17.6,NA,0.240426388,14,0.795454545,FR,NA,NA,NA,NA,NA,,,12771.18291,2.94,Yes,1,1,0,1,0,No,informal Rec site with launch,2,loose,Known Road Acess,28.37,0.44,,294.04,unclassified
Neskatahin,YT_Neskatahin,Yukon,-137.076361,60.1753,751,68,-1.1,12.9,-16,1909,762,6950,8,122,NA,NA,NA,NA,NA,FR,NA,NA,NA,NA,NA,,,2066.477773,0.24,No,No,No,No,Yes,No,No,0,4,Paved,Possible Road Access,4590.24,5.85,Haines Road,8782.21,Expressway *
Netalzul Lake,00035BULK,Skeena,-127.0398168,55.291508,1138,8.5517638,0.8,11,-9.9,1225,631,6272,5,127,6,16,0.000513106,88,14.66666667,NR,NA,NA,NA,NA,NA,,,1058.800596,1.03,No,0,0,0,0,0,No,,3,loose,Possible Road Access,4183.71,9.79,,6529.1,unclassified
Netson Lake,01149COAL,Peace,-126.716174,58.70287794,983,303.3171231,-1.2,12.2,-16.2,1924,731,6991,7,118,8,36.5,0.02426537,256,32,NR,NA,NA,NA,NA,NA,,,7521.444679,NA,Yes,0,0,0,3,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Nilkitkwa Lake,00045BABL,Skeena,-126.6481575,55.35174706,709,483.2133794,2.2,13.4,-11,1138,964,5747,14,148,8,21,0.03865707,NA,NA,FR,NA,NA,NA,NA,NA,,,9139.372232,2.15,No,0,17,0,0,4,No,,3,loose,Known Road Acess,117.74,1.1,Nilkitkwa FSR,732.57,resource
Nisutlin,YT_Nisutlin,Yukon,-132.122755,61.0971,998,1541,-3.7,12,-22.2,2666,621,7873,5,102,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,9133.61912,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Nome Lake,00939SWIR,Skeena,-130.9034164,59.64553801,1194,1012.212396,-3,10.2,-17.1,2239,456,7659,2,99,20,73.6,0.202442479,68,3.4,NR,NA,NA,NA,NA,NA,,,12896.85538,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
North (East),YT_North East,Yukon,-130.530143,61.4285,1287,112,-4.6,10.3,-21.4,2752,430,8229,2,88,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,2614.15126,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
North (Main),YT_North Main,Yukon,-130.59182,61.3865,1270,252,-4.7,10,-21.4,2761,405,8275,2,85,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,4953.749644,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
North (West),YT_North West,Yukon,-130.620661,61.4129,1310,54,-4.8,9.9,-21.4,2773,397,8300,2,84,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,2011.941761,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Obo Lake,00011TOOD,Omineca,-126.7020425,57.97676448,1214,199.0871782,-1.3,10.8,-13.9,1778,563,7022,4,109,13,32.8,0.025881333,26,2,NR,NA,NA,NA,NA,NA,,,4024.13826,NA,Yes,0,0,0,1,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Oona Lake,00379FRAN,Omineca,-124.7435702,54.18132863,831,320.6348955,2.3,14,-10.6,1140,1011,5705,16,147,10,23.2,0.03206349,75,7.5,FR,NA,NA,NA,NA,NA,,,4812.010308,0.81,No,1,2,0,0,0,No,,3,rough,Known Road Acess,32.34,2.51,,417.83,unclassified
Orchay (East),YT_Orchay East,Yukon,-132.693724,62.1387,761,89,-3.9,13.6,-25.3,2939,775,7970,10,109,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,1465.693108,NA,No,No,No,No,No,No,No,#N/A,1,NA,NA,NA,NA,NA,NA,NA
Orchay (West),YT_Orchay West,Yukon,-132.718378,62.1294,759,95,-3.9,13.6,-25,2923,777,7951,10,109,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,3577.781228,NA,No,No,No,No,No,No,No,#N/A,1,NA,NA,NA,NA,NA,NA,NA
Owen Lake,01248MORR,Skeena,-126.7253668,54.07008377,736,295.7759331,2.5,13.6,-10.2,1076,993,5639,15,145,16,37.8,0.047324149,65,4.0625,FR,NA,NA,NA,NA,NA,,,6192.955941,1.08,No,1,5,1,0,1,No,,3,rough,Known Road Acess,6.17,3.11,,518.72,unclassified
Pacific Lake,00132HERR,Omineca,-121.5939942,54.38720018,755,59.81368906,2.2,13.8,-10.5,1164,1020,5751,15,153,6.18,36.6,0.003696486,155,25.08090615,NR,NA,NA,NA,NA,NA,,,2174.423217,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Paddy Lake,00487NAKR,Skeena,-132.9419648,59.26854393,945,82.34159365,-2.2,11.3,-17.4,2064,580,7340,4,112,6.2,NA,0.005105179,NA,NA,NR,NA,NA,NA,NA,NA,,,3078.915242,NA,Yes,0,0,0,1,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Pants Lake,00513TESR,Skeena,-132.1945082,59.45918815,776,751.5384858,-1.3,12.8,-17.6,1997,764,7022,8,124,8,31,0.060123079,121,15.125,NR,NA,NA,NA,NA,NA,,,6813.421325,NA,Yes,0,0,0,1,0,No,outfitter cabin untenured,2,NA,NA,NA,NA,NA,NA,NA
Pass Lake,00260MORK,Omineca,-121.4050786,54.08946536,803,178.8452147,2.7,14.3,-10.2,1091,1102,5570,20,155,2,4.9,0.003576904,NA,NA,NR,NA,NA,NA,NA,NA,,,5097.390953,0.97,No,1,0,0,0,0,No,,3,rough,Known Road Acess,2.79,2.16,,360.65,unclassified
Pelly,YT_Pelly,Yukon,-130.1927,62.0673,883,1980,-4.5,12.2,-23.1,2945,613,8179,5,101,26.2,65,0.519,43,1.641221374,NR,NA,NA,NA,NA,NA,,General Regulations,12091.01202,NA,Yes,No,No,No,No,No,No,"Medium-size lake, moderate yield, unknown population size, remote, unknown pressure ",2,NA,NA,NA,NA,NA,NA,NA
Pickhandle,YT_Pickhandle,Yukon,-140.322136,61.9247,652,163,-4,12.4,-21.8,2799,651,7983,6,104,8.7,21,0.014,98,11.26436782,PR,NA,NA,NA,NA,NA,,General Regulations,3454.188774,0.77,No,No,No,No,No,No,No,0,4,Unpaved,Known Road Acess,14.91,0.48,None,158.71,Service Lane
Pinchi Lake,00509STUL,Omineca,-124.3263553,54.58296108,719,5585.827463,2.2,14.2,-11.9,1243,1055,5763,18,146,24,67.5,1.340598591,116,4.833333333,FR,NA,NA,NA,NA,NA,,,22930.35552,1.02,Yes,0,23,0,0,4,No,,2,loose,Known Road Acess,2.4,0.19,,129.46,unclassified
Pine,YT_Pine,Yukon,-137.447601,60.8179,655,548,-2.6,12.6,-19.5,2397,702,7487,7,107,14.7,28,0.081,162.5,11.05442177,PR,1185,2.162408759,104,0.189781022,0.087763713,,Special Management Water,5759.226063,0.13,No,Yes,No,No,Yes,No,No,"Small lake, moderate-low yield, very small population, high pressure, overharvested",4,Unpaved,Known Road Acess,133.59,0.43,None,214.64,Local / Str*
Pinetree Lake,00792DEAL,Skeena,-129.7796096,59.01144402,735,114.5036996,-0.9,13.1,-16.6,1918,828,6857,10,126,10,26.5,0.01145037,200,20,FR,NA,NA,NA,NA,NA,,,2393.626133,0.9,No,0,0,0,1,0,No,,3,loose,Known Road Acess,26.86,0.26,,171.75,unclassified
Pinkut Lake,02257BABL,Skeena,-125.6515672,54.37751494,918,585.8936733,2.1,13,-9.9,1104,894,5797,11,145,10,31.7,0.058589367,64,6.4,FR,NA,NA,NA,NA,NA,,,7207.393235,0.4,No,1,0,0,0,1,Yes,,4,loose,Known Road Acess,1.16,0.74,unsigned,493.75,local
Pitoney Lake,00607WILL,Omineca,-122.0322677,53.62882541,927,169.891746,2.7,13.7,-9.7,1032,1016,5567,16,145,9,20.1,0.015290257,35,3.888888889,FR,NA,NA,NA,NA,NA,,,2093.899357,1.59,No,1,0,0,0,0,No,,3,loose,Known Road Acess,29.92,0.82,,549.32,unclassified
Plate Lake,00181SWIR,Skeena,-130.7093061,59.89535198,1121,155.9258406,-3.3,9.8,-16.6,2272,424,7733,2,93,10,38.4,0.015592584,52,5.2,NR,NA,NA,NA,NA,NA,,,2909.508485,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Pleasant,YT_Pleasant,Yukon,-133.3904,61.6346,NA,NA,-5.2,9.7,-22.3,2856,364,8434,2,72,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,3617.027291,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Poisson,YT_Poisson,Yukon,-132.2239,62.3175,NA,NA,-4.5,12.2,-23.3,2948,611,8187,5,99,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,5632.897659,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Polecat,YT_Polecat,Yukon,-137.489159,61.6822,944,168,-4.3,11.8,-21.3,2857,592,8106,4,101,2,4,0.003,97,48.5,PR,NA,NA,NA,NA,NA,,General Regulations,2827.950584,4.15,No,Yes,No,No,No,No,No,"Small lake, low yield, small population, remote lake likely low pressure",4,Unpaved,Known Road Acess,92.37,36.02,Aishihik Lake Road,18012.4,Local / Str*
Portage Lake,00113HERR,Omineca,-121.6252983,54.3998347,755,46.77086797,2.1,13.8,-11,1201,1018,5795,16,152,19,52.7,0.008886465,175,9.210526316,NR,NA,NA,NA,NA,NA,,,2147.934218,4.37,No,0,0,0,0,0,No,,4,rough,Possible Road Access,4511.08,0.64,,107.11,unclassified
Prairie Lake,01934TESR,Skeena,-131.6322032,58.99401423,899,525.0859411,-1.1,12,-16.2,1867,691,6958,6,119,7,18.8,0.036756016,80,11.42857143,NR,NA,NA,NA,NA,NA,,,3172.983241,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Purvis Lake,01099NATR,Omineca,-125.401829,55.19177823,882,294.3142939,1.7,13.3,-11.2,1245,909,5938,12,145,20,36,0.058862859,56,2.8,NR,NA,NA,NA,NA,NA,,,5126.511632,3.8,Yes,0,0,0,0,1,No,,2,rough,Known Road Acess,104.82,2.44,,405.92,unclassified
Quesnel Lake,00431QUES,Cariboo,-120.9580902,52.51119321,729,27012.71622,4.2,15.2,-8.2,831,1274,5027,32,159,44.97,506,12.14761848,81,1.801200801,FR,NA,NA,NA,NA,NA,,,81366.69683,1.91,Yes,9,295,3,6,0,No,I know there is a park ajnd a number of rec sites. Only 2 operational resorts I believe (Plato and Elysia) ,5,rough,Known Road Acess,77.71,0.8,,133.9,unclassified
Quiet,YT_Quiet,Yukon,-133.075001,61.0798,787,3780,-2.6,12.7,-20.9,2405,723,7472,7,113,32.9,170,1.244,44.5,1.352583587,FR,1204,0.318518519,205,0.054232804,0.170265781,Historic net fishery,Conservation Water,29663.36597,1.55,No,Yes,No,No,Yes,No,No,"Medium-large lake, moderate yield, large population, easy access, moderate pressure, harvest nearing unsustainable levels",3,Unpaved,Possible Road Access,332.54,0.16,None,81.58,Local / Str*
Racine Lake,00306TUTR,Skeena,-134.4147392,59.77615025,709,1074.013538,-2.1,10.6,-15.9,1935,489,7295,3,106,16.09,NA,0.172808778,NA,NA,FR,NA,NA,NA,NA,NA,,,11456.65392,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Rainbow,YT_Rainbow,Yukon,-137.254686,60.6461,728,139,-2.5,12.6,-19.1,2364,706,7446,7,108,NA,NA,NA,NA,NA,FR,NA,NA,NA,NA,NA,,,2415.74271,0.26,No,No,No,No,Yes,No,No,0,4,Paved,Possible Road Access,1554.88,3.5,Haines Road,5246.39,Expressway *
Redfern Lake,00436UPRO,Peace,-123.8928333,57.35171102,1261,496.9953695,-0.8,11.2,-13.1,1668,613,6857,4,116,44,81,0.218677963,52,1.181818182,NR,NA,NA,NA,NA,NA,,,5978.660423,NA,Yes,0,0,0,0,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Rond Lake,01086WILL,Omineca,-121.8175547,53.39496784,934,30.1517883,2.9,13.8,-9.4,996,1031,5508,17,150,2,4.5,0.000603036,56,28,NR,NA,NA,NA,NA,NA,,,798.9649261,1.89,No,0,0,0,0,0,No,,3,loose,Known Road Acess,154.08,0.55,,365.9,unclassified
Rose,YT_Rose,Yukon,-135.830372,60.3039,883,NA,-1.8,11.5,-15.6,1992,584,7214,4,110,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,18056.65259,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Round Lake,00590UJER,Skeena,-130.8642887,59.53001104,1173,293.6284472,-2.7,10.7,-17.3,2194,507,7532,3,104,9.31,NA,0.027336808,NA,NA,NR,NA,NA,NA,NA,NA,,,2893.264182,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Ruth Lake,00589NAKR,Skeena,-132.9140154,59.24972813,945,80.92581798,-2,11.2,-16.5,2001,564,7279,4,112,7,19,0.005664807,43,6.142857143,NR,NA,NA,NA,NA,NA,,,1802.70463,NA,Yes,0,0,0,0,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Sambo,YT_Sambo,Yukon,-129.505525,60.7574,741,1136,-3.6,12,-21.9,2661,629,7856,5,105,30.2,67,0.343,24,0.794701987,NR,NA,NA,NA,NA,NA,,General Regulations,10022.21673,NA,Yes,No,No,No,No,No,No,"Medium-size lake, unproductive with moderate-low yield, unknown population size, remote likely low pressure",2,NA,NA,NA,NA,NA,NA,NA
Sandpile 1 Lake,00071TURN,Peace,-128.1706597,59.02990507,989,112.5053979,-0.8,12.7,-15.4,1832,772,6835,8,122,7.05,25.4,0.007931631,343,48.65248227,NR,NA,NA,NA,NA,NA,,,2630.948575,NA,Yes,0,0,0,1,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Sandy,YT_Sandy,Yukon,-133.250248,61.2242,787,232,-2.8,12.8,-21.4,2483,719,7567,7,111,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,3039.310806,NA,No,No,No,No,No,No,No,#N/A,1,NA,NA,NA,NA,NA,NA,NA
Saskum Lake,00674LNTH,Thompson,-119.6966019,51.4092914,851,113.6572579,4.8,16.8,-7.7,805,1451,4853,60,173,18,33.7,0.020458306,80,4.444444444,PR,NA,NA,NA,NA,NA,,,2014.077011,1.02,No,1,0,0,0,0,No,,3,loose,Known Road Acess,41.16,4.68,,3119.73,unclassified
Second Lake Above Racine Falls,00260TUTR,Skeena,-134.3458532,59.79256738,695,73.73256323,-1,12,-15.3,1787,656,6892,5,123,6.94,NA,0.00511704,96,13.83285303,FR,NA,NA,NA,NA,NA,,,3044.456292,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Sekulmun,YT_Sekulmun,Yukon,-137.565456,61.444,921,4932,-4.4,11.7,-21.2,2873,576,8142,4,100,27.7,53,1.36,43,1.55234657,FR,NA,NA,NA,NA,NA,,Conservation Water,29039.21942,4.46,No,Yes,No,No,Yes,No,No,"Medium-large lake, moderate yield, medium-sized population, relatively remote",2,Unpaved,Possible Road Access,4517.84,9.52,Aishihik Lake Road,4760.02,Local / Str*
Serpentine Lake,01400MDEA,Skeena,-129.3030043,58.43214621,1206,90.11268984,-1.5,10.4,-14,1782,519,7084,3,106,5.65,NA,0.005091367,80,14.15929204,NR,NA,NA,NA,NA,NA,,,4889.62334,NA,Yes,0,0,0,0,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Shilsky,YT_Shilsky,Yukon,-130.623191,60.122,1088,NA,-2.9,10.7,-17.2,2258,503,7618,3,101,NA,NA,NA,38,NA,FR,NA,NA,NA,NA,NA,,,3230.468508,1.31,No,No,No,No,Yes,No,No,0,3,Unpaved,Possible Road Access,1827.78,9.33,None,4663.21,Local / Str*
Shuswap Lake,00672SHUL,Thompson,-119.0937365,50.8013475,357,30511.90286,7.1,18.7,-4.9,509,1919,4087,139,213,62,161.5,18.91737977,46,0.741935484,PR,NA,NA,NA,NA,NA,,,66335.71202,0.02,Yes,1,3242,13,0,6,No,,5,loose,Known Road Acess,27.47,0.15,Quast Rd,98.25,local
Sideslip,YT_Sideslip,Yukon,-135.438694,63.1538,948,105,-4.9,11.6,-23.5,2988,535,8331,4,92,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,2761.291508,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Silver Dollar,YT_Silver Dollar,Yukon,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,2.47,9,0.001,157,63.56275304,NR,NA,NA,NA,NA,NA,,,NA,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Silver Lake,01110UOMI,Omineca,-125.5363601,55.64365584,982,133.9526991,-0.1,11.2,-13.3,1526,636,6591,5,115,8.16,25.5,0.01093054,52,6.37254902,NR,NA,NA,NA,NA,NA,,,2789.073412,5.98,No,0,0,0,0,0,No,,4,rough,Known Road Acess,49.88,7.31,,1218.03,unclassified
Simmons Lake,00354DEAL,Skeena,-129.7757928,59.18552895,954,52.02569614,-1.7,11.7,-16.2,1967,631,7163,5,116,13,46.3,0.00676334,45,3.461538462,FR,NA,NA,NA,NA,NA,,,1581.499053,0.65,No,0,1,0,0,0,No,,4,loose,Known Road Acess,4.43,0.5,,333.52,unclassified
Simpson,YT_Simpson,Yukon,-129.245494,60.7282,692,2030,-3.8,13.3,-24.6,2892,773,7911,9,109,37.8,58,0.767,171,4.523809524,PR,608,0.299507389,52,0.025615764,0.085526316,,General Regulations,11286.45459,1.08,No,Yes,No,No,Yes,No,No,"Medium-size lake, moderate yield, small population, accessible",3,Unpaved,Known Road Acess,194.79,2.95,Simpson Lake Road,1476.31,Local / Str*
Simpson Lake,01315ATLL,Skeena,-133.575608,59.23313547,876,202.3311022,-1.4,11.2,-15.3,1843,582,7064,4,115,16,44,0.032372976,96,6,NR,NA,NA,NA,NA,NA,,,3796.316739,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Snafu,YT_Snafu,Yukon,-133.785119,60.1502,765,651,-1.7,12.7,-18.4,2136,746,7153,7,117,10.95,36,0.071,136.8187404,12.49486214,PR,3783,5.811059908,103,0.158218126,0.027227068,"Depleted population, CTFN",Special Management Water,4341.37066,0.26,No,Yes,Yes,Yes,Yes,No,No,#N/A,5,Unpaved,Known Road Acess,63.09,2.19,Snafu Lake Road,1095.88,Local / Str*
Snafu-Lower,YT_Snafu-Lower,Yukon,-133.785119,60.1502,759,290,-1.7,12.8,-18.4,2134,750,7146,8,117,6.3,25,0.018,159,25.23809524,PR,2697,9.3,12,0.04137931,0.004449388,"Depleted population, CTFN",Special Management Water,4341.37066,0.26,No,Yes,Yes,Yes,Yes,No,No,"Small lake, low yield, small depleted population, accessible with very high pressure",5,Unpaved,Known Road Acess,63.09,2.19,Snafu Lake Road,1095.88,Local / Str*
Snafu-Upper,YT_Snafu-Upper,Yukon,-133.719383,60.1039,771,361,-1.8,12.6,-18.4,2147,727,7191,7,114,14.68,36,0.053,119,8.10626703,FR,1086,3.008310249,91,0.252077562,0.083793738,,Special Management Water,5153.313028,0.2,No,Yes,Yes,Yes,Yes,No,No,"Small lake, low yield, small depleted population, accessible with high pressure",5,Unpaved,Possible Road Access,4288.73,2.5,Atlin Road,3338.55,Expressway *
Solitary Lake,01127LKEC,Peace,-128.1833597,59.23883659,886,521.7250553,-0.9,13.3,-16.7,1982,835,6881,10,124,6,11,0.031303503,280,46.66666667,NR,NA,NA,NA,NA,NA,,,4732.623131,NA,Yes,0,0,0,1,0,No,,2,NA,NA,NA,NA,NA,NA,NA
South Gataga 1 Lake,00389GATA,Peace,-125.6718845,57.96631923,1002,111.6111664,-0.9,12,-14.8,1784,698,6864,6,117,7.71,NA,0.008605221,NA,NA,NR,NA,NA,NA,NA,NA,,,2853.433786,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
South Gataga 2 Lake,00403GATA,Peace,-125.7259372,57.93600587,1011,77.34307513,-0.8,12.1,-14.8,1776,713,6836,6,117,16,NA,0.012374892,142,8.875,NR,NA,NA,NA,NA,NA,,,1824.960899,NA,No,0,0,0,1,0,No,,1,NA,NA,NA,NA,NA,NA,NA
South Gataga 3 Lake,00407GATA,Peace,-125.7320208,57.92026088,1012,256.1288901,-0.9,12.1,-15.1,1800,705,6871,6,116,8.5,39.8,0.021770956,NA,NA,NR,NA,NA,NA,NA,NA,,,5501.792097,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
South Gataga 4 Lake,00418GATA,Peace,-125.7259651,57.87118179,1017,53.86592632,-0.8,12,-14.8,1778,701,6852,6,116,5.54,NA,0.002984172,148,26.71480144,NR,NA,NA,NA,NA,NA,,,1506.659176,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Spanish Lake,00698CARR,Cariboo,-121.4176533,52.58634525,915,448.2938957,3.7,14.7,-7.9,863,1159,5201,24,156,29,72,0.13000523,78,2.689655172,FR,NA,NA,NA,NA,NA,,,7907.610659,2.26,No,1,1,0,0,0,No,,3,rough,Known Road Acess,9.89,5.36,,893.83,unclassified
